"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 20 01:33:09 GMT+03:00 2025","Tue May 20 01:33:12 GMT+03:00 2025","2968","tests","test_feed_functions","TestFeedFunctions","","","Проверка открытия всплывающего окна заказа с деталями в фиде",""
"passed","Tue May 20 01:35:55 GMT+03:00 2025","Tue May 20 01:35:57 GMT+03:00 2025","1647","tests","test_recovery_password","TestPassRecovery","","","Проверка ввода почты и клик по кнопке «Восстановить»",""
"broken","Tue May 20 01:33:19 GMT+03:00 2025","Tue May 20 01:33:20 GMT+03:00 2025","210","tests","test_feed_functions","TestFeedFunctions","","","Проверка, что при создании нового заказа счётчик Выполнено за всё время увеличивается",""
"broken","Tue May 20 01:36:58 GMT+03:00 2025","Tue May 20 01:36:58 GMT+03:00 2025","3","tests","test_user_personal_account","TestUserPersonalAccount","","","Проверка перехода по клику на «Личный кабинет»",""
"passed","Tue May 20 01:33:45 GMT+03:00 2025","Tue May 20 01:33:46 GMT+03:00 2025","497","tests","test_main_functions","TestMainFunctions","","","Проверка перехода по клику на «Лента Заказов»",""
"broken","Tue May 20 01:33:20 GMT+03:00 2025","Tue May 20 01:33:20 GMT+03:00 2025","101","tests","test_feed_functions","TestFeedFunctions","","","Проверка, что при создании нового заказа его номер появляется в разделе В работе",""
"passed","Tue May 20 01:34:19 GMT+03:00 2025","Tue May 20 01:34:19 GMT+03:00 2025","847","tests","test_main_functions","TestMainFunctions","","","Проверка если кликнуть на ингредиент, появится всплывающее окно с деталями",""
"passed","Tue May 20 01:37:15 GMT+03:00 2025","Tue May 20 01:37:16 GMT+03:00 2025","1192","tests","test_user_personal_account","TestUserPersonalAccount","","","Проверка перехода в раздел «История заказов»",""
"passed","Tue May 20 01:33:57 GMT+03:00 2025","Tue May 20 01:33:58 GMT+03:00 2025","1014","tests","test_main_functions","TestMainFunctions","","","Проверка перехода по клику на «Лента Заказов»",""
"passed","Tue May 20 01:34:40 GMT+03:00 2025","Tue May 20 01:34:42 GMT+03:00 2025","1570","tests","test_main_functions","TestMainFunctions","","","Проверка, что всплывающее окно закрывается кликом по крестику",""
